name	name_fr	item_type	cpv_code	cpv_label	cpv_label_fr	canonical_unit	sector	sector_name	monitoring_tier	identifier_type	identifier_value	issuer
General construction work	Travaux de construction	service	45000000	Construction work	Travaux de construction	project	construction	Construction and infrastructure	tender_benchmark
Municipal building construction	Travaux de construction de bâtiments	service	45210000	Building construction work	Travaux de construction de bâtiments	project	construction	Construction and infrastructure	tender_benchmark
Road construction works	Travaux de construction de routes	service	45233120	Road construction works	Travaux de construction de routes	project	construction	Construction and infrastructure	tender_benchmark
Road maintenance works	Travaux d'entretien routier	service	45233141	Road-maintenance works	Travaux d'entretien routier	project	construction	Construction and infrastructure	tender_benchmark
Sewerage construction work	Travaux d'assainissement	service	45232410	Sewerage work	Travaux d'assainissement	project	construction	Construction and infrastructure	tender_benchmark
Water and sewage pipeline construction	Travaux de construction de conduites d'eau et de canalisations d'eaux usées à grande distance	service	45231300	Construction work for water and sewage pipelines	Travaux de construction de conduites d'eau et de canalisations d'eaux usées à grande distance	project	construction	Construction and infrastructure	tender_benchmark
Electrical installation work	Travaux d'équipement électrique	service	45310000	Electrical installation work	Travaux d'équipement électrique	hour	construction	Construction and infrastructure	quote_based
Plumbing and sanitary works	Travaux de plomberie	service	45330000	Plumbing and sanitary works	Travaux de plomberie	hour	construction	Construction and infrastructure	quote_based
Interior and exterior painting work	Travaux de peinture	service	45442100	Painting work	Travaux de peinture	m2	construction	Construction and infrastructure	quote_based
Carpentry installation work	Travaux de charpenterie	service	45422000	Carpentry installation work	Travaux de charpenterie	hour	construction	Construction and infrastructure	quote_based
Engineering design services	Services de conception technique	service	71320000	Engineering design services	Services de conception technique	hour	construction	Construction and infrastructure	quote_based
Architectural engineering and planning services	Services d'architecture, d'ingénierie et de planification	service	71240000	Architectural, engineering and planning services	Services d'architecture, d'ingénierie et de planification	hour	construction	Construction and infrastructure	quote_based
Institutional cleaning products	Produits de nettoyage	good	39830000	Cleaning products	Produits de nettoyage	pack	facilities	Facilities and building operations	web_price
Commercial toilet paper case	Papier hygiénique	good	33761000	Toilet paper	Papier hygiénique	pack	facilities	Facilities and building operations	web_price
Microfibre cleaning cloth pack	Torchons de nettoyage	good	39525800	Cleaning cloths	Torchons de nettoyage	pack	facilities	Facilities and building operations	web_price
Brooms and cleaning brushes	Balais et brosses et autres produits de nettoyage ménager	good	39224300	Brooms and brushes and other articles for household cleaning	Balais et brosses et autres produits de nettoyage ménager	each	facilities	Facilities and building operations	web_price
Municipal building cleaning	Services de nettoyage de bâtiments	service	90911200	Building-cleaning services	Services de nettoyage de bâtiments	m2	facilities	Facilities and building operations	quote_based
Window cleaning services	Services de nettoyage de vitres	service	90911300	Window-cleaning services	Services de nettoyage de vitres	m2	facilities	Facilities and building operations	quote_based
