catalogue_line_name	name	name_fr	brand	model	identifier_type	identifier_value	source_url	monitoring_cohort	default_market
A4 80 gsm office copy paper, 500 sheets	Navigator Universal A4 80 gsm paper	Papier Navigator Universal A4 80 g/m²	Navigator	Universal A4 80 gsm	vendor	NAVIGATOR-UNIVERSAL-A4-80	https://navigator-paper.com/	1	FR
A4 80 gsm office copy paper, 500 sheets	Navigator Expression A4 90 gsm paper	Papier Navigator Expression A4 90 g/m²	Navigator	Expression A4 90 gsm	vendor	NAVIGATOR-EXPRESSION-A4-90	https://navigator-paper.com/	1	DE
A4 80 gsm office copy paper, 500 sheets	Navigator Eco-Logical A4 75 gsm paper	Papier Navigator Eco-Logical A4 75 g/m²	Navigator	Eco-Logical A4 75 gsm	vendor	NAVIGATOR-ECOLOGICAL-A4-75	https://navigator-paper.com/	0	EE
A4 80 gsm office copy paper, 500 sheets	Mondi IQ Economy+ A4 80 gsm paper	Papier Mondi IQ Economy+ A4 80 g/m²	Mondi	IQ Economy+ A4 80 gsm	vendor	MONDI-IQ-ECONOMY-PLUS-A4-80	https://www.mondigroup.com/products-and-solutions/uncoated-printing-paper/offset-printing-paper/	0	FI
A4 80 gsm office copy paper, 500 sheets	Mondi Color Copy A4 90 gsm paper	Papier Mondi Color Copy A4 90 g/m²	Mondi	Color Copy A4 90 gsm	vendor	MONDI-COLOR-COPY-A4-90	https://www.mondigroup.com/products-and-solutions/uncoated-printing-paper/color-copy/	0	LT
A4 80 gsm office copy paper, 500 sheets	UPM Office Copy A4 80 gsm paper	Papier UPM Office Copy A4 80 g/m²	UPM	Office Copy A4 80 gsm	vendor	UPM-OFFICE-COPY-A4-80	https://www.upmpaper.com/products/paper-catalogue/brand-families/upm-office/	0	LV
A4 80 gsm office copy paper, 500 sheets	Double A Premium A4 80 gsm paper	Papier Double A Premium A4 80 g/m²	Double A	Premium A4 80 gsm	vendor	DOUBLE-A-PREMIUM-A4-80	https://www.doubleapaper.com/	0	NL
A4 80 gsm office copy paper, 500 sheets	Xerox Performer A4 80 gsm paper	Papier Xerox Performer A4 80 g/m²	Xerox	Performer A4 80 gsm	mpn	003R90649	https://download.support.xerox.com/pub/docs/C55/userdocs/any-os/en/supplies.pdf	0	PL
A4 80 gsm office copy paper, 500 sheets	Canon Yellow Label Standard A4 80 gsm paper	Papier Canon Yellow Label Standard A4 80 g/m²	Canon	Yellow Label Standard A4 80 gsm	mpn	97005617	https://de.mediaguide.cpp.canon/ResultDetails.aspx?ArticleGroupID=568	0	SE
A4 80 gsm office copy paper, 500 sheets	Steinbeis No.1 ClassicWhite A4 80 gsm paper	Papier Steinbeis No.1 ClassicWhite A4 80 g/m²	Steinbeis	No.1 ClassicWhite A4 80 gsm	vendor	STEINBEIS-NO1-A4-80	https://www.stp.de/en/products/	0	DK
Standard black toner cartridge	HP 207A Black Original LaserJet Toner W2210A	Toner LaserJet noir HP 207A d’origine W2210A	HP	207A Black	mpn	W2210A	https://www.hp.com/us-en/shop/pdp/hp-207a-black-original-laserjet-toner-cartridge	1	DE
Standard black toner cartridge	HP 415A Black Original LaserJet Toner W2030A	Toner LaserJet noir HP 415A d’origine W2030A	HP	415A Black	mpn	W2030A	https://www.hp.com/us-en/shop/sitesearch?keyword=W2030A	1	FR
Standard black toner cartridge	HP 117A Black Original Laser Toner W2070A	Toner laser noir HP 117A d’origine W2070A	HP	117A Black	mpn	W2070A	https://www.hp.com/us-en/shop/sitesearch?keyword=W2070A	0	EE
Standard black toner cartridge	HP 59A Black Original LaserJet Toner CF259A	Toner LaserJet noir HP 59A d’origine CF259A	HP	59A Black	mpn	CF259A	https://www.hp.com/us-en/shop/sitesearch?keyword=CF259A	0	FI
